year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
2060,0.550349836146929,2.31464623267767,4.70982421469711,7.10567276592509,9.152886945692,10.8092379035711,12.1241193171687,13.1265987432275,13.9377989339214,14.600306384353
2061,0.555999914426732,2.34458387388424,4.7141636960174,7.08149706432581,9.18320145226762,10.8229077879341,12.1112993372646,13.195302723703,13.9746702420317,14.6207079747879
2062,0.534498697404802,2.30248925216232,4.6790735075044,6.99183815184535,9.03817497323599,10.7602819354477,12.1377474199429,13.1707935557989,14.0013716950581,14.6802724278535
2063,0.5555952129115,2.33389753638295,4.72692521246322,7.07813385082156,9.08158962766181,10.7717973014512,12.1704426413335,13.259361353888,14.1505387157273,14.8187053313938
2064,0.525586232799926,2.35393832275678,4.75115925506064,7.13015984410888,9.17954579162937,10.8678593919581,12.257046584324,13.3703905166206,14.212187006988,14.9298631349516
2065,0.513540048820237,2.283372318953,4.82426573397133,7.24311927509631,9.37568782115957,11.1130167411256,12.438785405259,13.5319161780881,14.4724518223047,15.2004598392528
2066,0.557331339403785,2.21026666487729,4.55836378148337,6.92999155532507,8.96980247452916,10.6579334779926,12.0200309733711,13.0966174597215,13.9878638038267,14.7447568429442
2067,0.541723205285264,2.32658215971792,4.53967122321758,6.82962431948606,8.87018096036871,10.5302825759649,11.8574933377883,12.9071982041099,13.7609853721163,14.5126206434637
2068,0.549507045337673,2.28830532084927,4.59522284688104,6.75663725398373,8.7429783823953,10.4205102855328,11.7378713809743,12.778261768572,13.6173690869347,14.299820567387
2069,0.557697661737919,2.26428618138026,4.48502958038709,6.71004729898392,8.55536141942679,10.0923702534217,11.4179805918157,12.4391639077812,13.2815118570986,13.9886427959285
2070,0.55445621487208,2.33878160451213,4.61976752502942,6.84119158625779,8.8029011061849,10.3085040167133,11.5461252833734,12.5461851576633,13.4005280986146,14.0427687078377
2071,0.544261542317981,2.34496058374047,4.73081278718327,7.01228300787253,8.99392673118709,10.5519283584793,11.7726042208977,12.7509180601572,13.5665367355696,14.2613674511637
2072,0.571127668331208,2.32003315963859,4.70164318160116,7.04825959521728,8.99145313760136,10.5814097082262,11.8323596274749,12.7678708530564,13.5755335223171,14.2183434059269
2073,0.558914548500978,2.38996433787606,4.71705327410871,7.10489429764261,9.16584124517573,10.7671669211938,12.0031871171035,12.9783380723249,13.6971727772979,14.2735189746386
2074,0.547976951544677,2.35038751615949,4.76790736683632,7.08821591455384,9.15425720378296,10.8342282833159,12.083100485897,13.0161658843316,13.79438813045,14.33041661761
2075,0.566033814757143,2.27773341123217,4.61233066477391,6.92915140698069,8.8779655524942,10.5439520847185,11.8233176960894,12.8139960676305,13.5465014514127,14.1196482062348
2076,0.570126409011174,2.26885100686857,4.47877486907154,6.71790440106051,8.66268230462349,10.2045758310167,11.4475559441526,12.457337664343,13.2064328323665,13.8336390689941
2077,0.566062240563984,2.32554251542468,4.56484704696989,6.74553613690683,8.64849022996148,10.2057785104629,11.4023932183434,12.354094794893,13.1082844346538,13.7155245229846
2078,0.55190142671914,2.31817945729111,4.59332198442148,6.7883423472497,8.65958492866296,10.2275749761678,11.4612494479568,12.3806578070944,13.1324126015495,13.7232668314288
2079,0.568719069370511,2.25881169995589,4.48538311707817,6.68436399079802,8.52691798872951,10.0005324665837,11.2010705290707,12.1477017271051,12.8557833400545,13.4902921236806
2080,0.546730702848438,2.29274254804233,4.48640697923835,6.6840001252767,8.54219233812564,10.0070837355816,11.188291542941,12.107672223968,12.8340886968883,13.4107995906799
2081,0.551722438561732,2.21924334858696,4.40878234782828,6.49431582467518,8.32446167095471,9.78769533794325,10.9321862784201,11.8710317435934,12.6266575569201,13.2427397281768
