Year,1,2,3,4,5,6,7,8,9,10
1971,0.04350433856888253,0.2576655718760633,1.476161716023679,4.078754928143291,6.958372632792476,8.312302347935285,10.773132300965731,,,
1972,0.34143281475856607,0.40159491518288826,1.5693534216299008,8.36331514367439,9.15593421461509,9.55427971374452,,,,
1973,0.13826507506251032,0.6288421273531666,1.42933623287513,3.7609740517212167,6.488392122503367,9.77374160706965,,11.512043568073828,,
1974,0.06147423886059891,0.6089311604933718,1.6071786664395904,3.6703063717859816,6.252180164449721,9.178556299129328,,10.926194260690938,,16.829283810564554
1975,0.08708284810913751,0.7276286221028421,2.2979569793818375,3.6312189376758344,5.681405258248631,8.579606892901968,,13.203023531411365,,
1976,0.06335213445214913,0.5322483624334526,1.875515390114423,4.477917486619761,6.609893770444817,9.256077370739696,10.054490385155168,,,
1977,0.0795673223775801,0.44850271442343453,1.7179957596959452,4.019498846123927,6.505724941626465,8.59320742566265,10.861359629358141,9.85204519732589,18.947668790984636,
1978,0.07417061408347281,0.546191718009046,1.60182586067236,4.55107574956326,6.980860573257736,11.597463055888928,10.487298968486705,13.355252935519173,15.153957233839213,
1979,0.09005811410980993,0.5450810036826697,1.9539392775384425,4.303054620769419,6.937939888248262,10.394179117709893,13.057627933550219,11.415856428963924,14.405237770662414,
1980,0.09693122475522409,0.5562703745487734,1.685895357241869,4.220960553389341,6.826233473653341,9.907882205642693,11.14942097306503,13.91760457169493,17.173232985206496,
1981,0.06590765336318057,0.40243520901922225,1.997003930304777,4.366622988061163,7.190741930312107,9.498402562095386,12.832567379467836,12.512316331055132,,17.307046377886756
1982,0.0967815019963319,0.5831678286598172,1.6453756059366629,3.932908472851235,6.512910705743772,9.950455415639407,11.176343565512806,12.188252482482756,,
1983,0.1047503367629376,0.6959571693571251,2.028995056904652,4.5046034706433655,7.263397181048141,10.525815628294605,11.461190200752121,11.549269763013204,13.716844301697737,17.175833524082883
1984,0.0951529938304847,0.6078509751722868,1.9899128266270387,3.6124202982269114,6.649857001062541,9.411174128524317,10.917738156280407,12.97457420015042,14.510842961289747,19.940500633022694
1985,0.05299180687927416,0.5477912872662836,1.806316268711626,4.566488632160297,6.56218546939165,10.911480846812198,10.617129982674655,13.669991892338505,13.705294756713812,14.220600351869615
1986,0.08610740325427327,0.5072191416626941,1.5446173511402348,3.294666905758225,6.422547731489416,9.98066317197803,10.099606097342239,13.758775882363624,15.351778305842114,15.677484547899265
1987,0.07948733255636806,0.5339712241055166,1.6839431783556247,4.310918787567755,6.699391465740044,10.35117071614139,11.41649778679131,12.437920928283779,13.937029208894996,17.80005145284852
1988,0.08540750220433477,0.5136091829360068,1.6529676628185719,3.1170881382279623,6.585838743865595,9.994642928459305,10.320012526249444,13.42201151287831,,
1989,0.08554315639699081,0.6040029568775976,1.582518225710246,3.4666115544446736,5.662536501422406,9.504585713277784,11.085369297437254,13.02987917558497,,
