year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2080,0.173111459900767,1.1048539621797,2.69224661387346,4.72232407657338,7.07416808924633,9.11906191605792,10.660029426535,12.8823188562097,14.7502867396134,16.5054057805542,17.9008622100715,18.8424389806412,19.6732921788854,20.4745977571991
2081,0.194129324741765,1.02898038168766,2.77859543015197,4.8400598310339,7.03974297708775,9.32003854220088,11.1678617097444,13.2670906823968,15.1394156238363,16.6605113815247,18.0539435363872,19.1406217169522,19.8643807937325,20.4971905012363
2082,0.186635877303127,1.0674605581023,2.63182128399746,4.8964337608179,7.10596661923889,9.22740658704809,11.2776912785834,13.6070317070133,15.3472549651484,16.8509101434417,18.0445827106976,19.11905665802,19.9456848555682,20.4985096364631
2083,0.183623492299387,1.03664892476251,2.66755788892781,4.69069623321018,7.11382501564118,9.22869324968218,11.1270320028977,13.7075727561198,15.6355644187928,17.0308213738641,18.2106244358755,19.1322917777405,19.9517342803542,20.5847322369432
2084,0.235084036352161,1.15345751782218,2.82361992925567,5.0035238428232,7.23221664049158,9.60797146133327,11.5326757435541,13.622352699997,15.7746882591967,17.3275174837164,18.4270760116461,19.3429492148443,20.0503718749746,20.6738165979282
2085,0.21581779895147,1.24799909944924,2.93432859375243,5.10144973708695,7.45335108707413,9.61091786740409,11.7530477932519,13.9260779654893,15.6667555540751,17.4028505060788,18.6257677608496,19.4786656740842,20.1815712230504,20.7201304516491
2086,0.196702234771634,1.15040962638904,2.99731068076435,5.12935717865191,7.43222833584349,9.68051577765708,11.6085564678103,14.1486629303473,15.9503143335779,17.3516261443982,18.7183436577187,19.6648876183965,20.3178793792649,20.8519094594809
2087,0.170345468779374,1.03086723894737,2.74026726950308,5.04683601559993,7.27678424852158,9.45475460260703,11.4448807368097,13.9391069356335,16.0383809540276,17.4802192323559,18.5792087389105,19.6344473806763,20.3565448987716,20.8508294500858
2088,0.171422109518404,0.963143909141397,2.56839496789622,4.7606521774212,7.20085054317527,9.31872392925576,11.2555398237488,13.8693329189759,15.9440372674038,17.6310787044005,18.7640413114152,19.6152777880202,20.4234960608291,20.9717562527163
2089,0.207202246922109,1.05331495456138,2.60306169398604,4.74235376764769,7.12913285414867,9.48752084569304,11.3915941279506,13.6236267836884,15.7587832527305,17.3936354416701,18.7087362058934,19.6047070017273,20.2818727901837,20.9203340543111
2090,0.299375917047588,1.35431909974179,3.04205438365516,5.16320540992412,7.55523688755122,9.91450773594788,12.0682083032231,13.8298611354714,15.6632377607573,17.3585237453927,18.6248417216781,19.6262643641003,20.3173894518656,20.8379801765541
2091,0.251459922193718,1.49456713111926,3.35596126669096,5.50962743593047,7.79071712749604,10.1014071511772,12.2221370762894,14.475489171799,15.9277830274759,17.3987651943409,18.728002903775,19.7040106656613,20.4666481894021,20.988572460145
2092,0.247614745286215,1.36694985742876,3.54558983967888,5.85496235457168,8.12470060886522,10.3043534763026,12.3702028380875,14.4926842967528,16.3205533945184,17.4670724132811,18.6069673826176,19.6206250693955,20.3669305509791,20.9670126716724
2093,0.264456093545254,1.39255074115048,3.41370086649284,6.12724571015427,8.53120650519629,10.6775092834361,12.614586232444,14.4627790787111,16.1554454594713,17.5991003863502,18.5054851064281,19.4267321585014,20.2522780521707,20.8579873429576
2094,0.253941240869323,1.4128384055717,3.41910568366872,5.94373809807048,8.7604983563582,11.0099195167725,12.9013420741098,14.8852780887277,16.3846787267305,17.7232744890064,18.8425656890551,19.5359181911008,20.2372008585221,20.8750948659003
