year,1,2,3,4,5,6,7,8,9,10
1959,0.4873971260968408,,,,,,,,,
1960,0.4763114594144604,1.8597039265229485,,,,,,,,
1961,0.4864055212248541,1.8785740346851876,3.62690170981508,,,,,,,
1962,0.5002790287734163,1.946000106366762,3.7334400779516512,5.431375159187602,,,,,,
1963,0.49692162127440437,2.0385666519261623,3.9550482516217835,5.74574404779781,7.248303342763196,,,,,
1964,0.5102595561353167,2.1353540307885495,4.2585093213920215,6.234078657479831,7.849407620906135,9.109193935845909,,,,
1965,0.49712676386221033,2.0242681270854126,4.093316194026477,6.169919410290743,7.961780781099595,9.378085195445205,10.474142360831902,,,
1966,0.5156725227816631,2.1117364745969978,4.183889564677356,6.274153336798555,8.09490507140958,9.603902184538041,10.838393046465935,11.790378653856601,,
1967,0.49074740464398764,2.0105167666522297,4.026258910754209,6.02666812665984,7.931355807785075,9.527721235764483,10.840105891448745,11.892567642735209,12.73481942433882,
1968,0.5246929305310709,2.070866204287942,4.09365027931401,6.094703630294113,7.863830405595311,9.50180146582898,10.858908651266482,11.96647310408592,12.849960491580344,13.548380040470867
1969,0.4879084653766142,2.0204371107115278,3.9764193513572237,5.936517757436088,7.76998169126068,9.323370278045774,10.75654486204659,11.949834684108191,12.908186866629746,13.669386610137565
1970,0.48440266193932024,1.9270815009544857,3.8610025590586914,5.732596550827616,7.540167429614058,9.17529539629256,10.526332592386431,11.781329540171564,12.816205055300136,13.657663358179079
1971,0.5150339907232734,2.037785954705536,3.968108308608765,5.901705193501401,7.54039445795816,9.102525623695213,10.544029184368316,11.705646084118769,12.767041163146626,13.666075810607635
1972,0.48649981650017127,2.007731769778683,3.951139991656782,5.835913992125784,7.6232957713082685,9.09055163433279,10.471105618943142,11.724055055339909,12.736900204881339,13.652084574401226
1973,0.5210577049117082,2.113608634583469,4.205106036260331,6.1978568251718675,7.882637014805062,9.440487040855505,10.714800165123426,11.888670047732816,12.954487504111787,13.810970026425293
1974,0.4930557675416932,2.077030792850694,4.149425237536109,6.216086708194754,8.038810042495582,9.520818859245614,10.880050425487852,11.983193114457913,12.981175732851717,13.901113492817313
1975,0.5236925339514376,2.1074950734281,4.24155503183821,6.320004860671413,8.163532731100885,9.762019280983038,11.04171391379291,12.184236770365663,13.093328476445,13.95482966854725
1976,0.49073954720300555,2.053467854209954,4.085419051941219,6.163070134830883,8.047392013148741,9.678878609597616,11.079653609635303,12.19002245445831,13.183240135196854,13.97340017139871
1977,0.48532248633441644,1.9561803585325912,3.9492123332085147,5.942221720114258,7.857050391193896,9.553525264757388,10.992953503894977,12.229712502898394,13.194441536130508,14.04723551831803
1978,0.49339072752123597,2.009693793098513,3.965397673571724,5.944779828908775,7.746416973501804,9.447483592180625,10.948258710944309,12.187752016363815,13.241344974966703,14.096807311220083
1979,0.4799287676320347,2.0022109860878583,3.9961431184818963,5.932146273354951,7.732191942948149,9.344254791256652,10.819045527575767,12.154773162741089,13.23853028130832,14.147920756111347
