year,1,2,3,4,5,6,7,8,9,10
1959,0.5216118550044003,,,,,,,,,
1960,0.5440861089301824,2.294516712262128,,,,,,,,
1961,0.5355181390053079,2.330114466595472,4.74952776601444,,,,,,,
1962,0.5358051470387685,2.3109094719106835,4.782316110781556,7.247863441602422,,,,,,
1963,0.5075086453541527,2.3246085543336834,4.837681095549506,7.421955610078157,9.654220113617308,,,,,
1964,0.4915962588105154,2.3204374645325383,5.0000894451811915,7.714236881193964,10.1231833265895,12.041065989016339,,,,
1965,0.5220117012327868,2.262385450393981,4.87924291853316,7.662805396073412,10.08877163110627,12.072374132628086,13.575926191446783,,,
1966,0.5162963516386712,2.3629194747496785,4.915368180201177,7.7197197701937865,10.275736229559936,12.321590618227464,13.911812181455165,15.080941173579724,,
1967,0.5297320936912605,2.300572199843412,4.8900053758688085,7.515401374317172,10.0005673834998,12.08010298685179,13.700335658896892,14.991855986168957,15.94202942694999,
1968,0.5426749999454099,2.369560153292389,4.897236944897803,7.6057795023890336,9.970479652804837,12.028242441006679,13.661704664643821,14.89229082592671,15.891456125739023,16.639922096352358
1969,0.516109691240578,2.355787137274756,4.931505004662051,7.562062475307121,9.995448185619193,11.95106772262891,13.580476322702955,14.904376596024251,15.91104162202107,16.745175352217263
1970,0.5328338410938682,2.291279991135694,4.857106491602013,7.490475813829673,9.814240132774962,11.794151709416223,13.335231010611775,14.639961006881157,15.734252343551512,16.56518228038939
1971,0.5393593763569389,2.387354280707085,4.921335196764131,7.633872411146187,10.029655362721412,11.975682438285608,13.551597313182628,14.738588027289774,15.751702107972173,16.611255080645687
1972,0.5320936977372761,2.3716456548351212,4.978027072193121,7.611982574946719,10.046432060631979,12.025076935486183,13.55405371625212,14.816493241604173,15.767228452587382,16.586677039434438
1973,0.531790695863695,2.3773056770581915,5.006983384702833,7.740267570552838,10.124857689927625,12.154397389064203,13.722180484496779,14.932754015923654,15.918847378447392,16.68560621676702
1974,0.5192348448866048,2.3733585561931236,5.026345812255422,7.798190080787394,10.281187196885956,12.276298509147532,13.891267309835678,15.117696933735214,16.06933015559659,16.859713536471283
1975,0.5404898085129755,2.3605682274823385,5.015224160834099,7.789392820919701,10.284512921925812,12.340462932070594,13.911522510160362,15.161193988146927,16.112392796002972,16.866831473342103
1976,0.5261674233968078,2.3714001645489065,4.94995435465883,7.710660339163864,10.194199321163168,12.248943364278343,13.861312616440731,15.103896844389933,16.11484247732127,16.901544865167434
1977,0.5259457856698795,2.3386107978872888,4.952167915714747,7.633340707923339,10.107845194514436,12.154408087956652,13.798039645039085,15.100554126608824,16.11243603584151,16.929911059460927
1978,0.5145423384452378,2.33270109224111,4.918328364922013,7.651088228749918,10.067442398850233,12.11929170911358,13.752862399795635,15.047226634016058,16.110113970390657,16.938134884923613
1979,0.5061579801557501,2.3077242739788963,4.921233006941795,7.642383805693189,10.118949287019207,12.133344094510914,13.76066642493404,15.089091242077323,16.146283161773898,17.01203472377485
1980,0.5260398178738802,2.303260278242481,4.887972215223047,7.622971231110673,10.072132751559971,12.121234438910978,13.730486089471427,15.016761459683961,16.105070572974103,16.960155817596032
1981,0.5289046376435673,2.32292667563165,4.8319989702126005,7.508687670254565,9.945229130550993,11.951174040915241,13.589525509004408,14.910195953783836,15.958801367795898,16.86014445714353
1982,0.5240845232745164,2.3392593477450307,4.886570764136663,7.50781004429077,9.918459530044181,11.935078101904704,13.519366942525512,14.838022256953453,15.886844788668455,16.742811075643267
1983,0.5444645909091419,2.346852146407114,4.9132188879539225,7.555669107571905,9.902406865914918,11.888638315877827,13.466858327907303,14.700148724274875,15.729561872799838,16.57973897271752
1984,0.5135436328171014,2.3629250933396806,4.916895783260998,7.597496636939311,9.97995641964195,11.929432984968432,13.498478973783087,14.763222766571031,15.76687753400364,16.603081939125094
1985,0.5253825889423166,2.31150836535683,4.937411843367825,7.594451240867019,10.001461357932858,11.971034877736443,13.504079301177654,14.739441595584582,15.774704638511187,16.58644765461843
1986,0.5333842995409706,2.3031678313358,4.792936121354994,7.475685053053964,9.815363129484156,11.798553140570498,13.389143677881364,14.654160099306678,15.65859474471062,16.49812179106972
1987,0.5087722221173123,2.36466602619826,4.92930235362028,7.587196146299243,10.053287919040692,12.030364153488055,13.622914461483568,14.863548686597055,15.876171183591637,16.6782167052497
1988,0.513289259264239,2.30621739740085,4.968011524219678,7.6595581455925466,10.067769084969541,12.123280597685586,13.695147454361335,14.955867056003404,15.959858025143419,16.78395829769894
1989,0.5235970175565822,2.2969750095108497,4.83964714204845,7.594163018796831,9.991040823799995,11.966470394090802,13.580608930791751,14.844792670339315,15.871490853989476,16.70305878265748
1990,0.547434795403848,2.326736259847205,4.8152651417081715,7.433057145974878,9.871390218955648,11.821522134152461,13.352294738658909,14.64065794701068,15.643617936083185,16.470428362424617
1991,0.5396779488497612,2.317829257746748,4.739033791118139,7.246143920882161,9.526030297274502,11.488926076616476,13.051475371060647,14.315650715860398,15.404355558542377,16.251996444314
1992,0.5263568531220902,2.3829553297453563,4.929937076893311,7.492914599336385,9.787971911499032,11.709345462876803,13.280038380546634,14.497830247731377,15.484863814215148,16.354305991262464
1993,0.5439753597326041,2.3655418360412983,4.998283185265286,7.64999968268502,9.958754250309067,11.865885430449307,13.38480772947664,14.597934652510839,15.549666873540428,16.324360018637098
1994,0.540008039613325,2.353777619940341,4.878474358483957,7.563001501572456,9.898053393749848,11.774763213184368,13.251741733524328,14.461214439884044,15.445508608045971,16.238335651219238
1995,0.5206046983547776,2.3642919152664654,4.935123062712997,7.57320367245102,9.99351543904399,11.931631729763598,13.414573574751474,14.550859869990015,15.509859168387948,16.301725832290373
1996,0.5334699567988606,2.2622310567432007,4.779388975943464,7.359057569191594,9.648947037247456,11.662431366490546,13.246684442310784,14.44931240851784,15.366530266516815,16.158535157917896
1997,0.539274056243868,2.3053026537307657,4.697148297195597,7.26231456090413,9.529137592642462,11.38325530839079,13.007708809952408,14.273659592884615,15.260359591255357,16.01668708361975
1998,0.5386882674892687,2.2860353710815327,4.677953013261369,7.080883871863805,9.31118706867428,11.126679520199644,12.607749495820569,13.932869909563706,15.005411321466964,15.83747582015552
1999,0.5525782230488208,2.3227003076957287,4.722490687713222,7.155246370025628,9.273649611579932,11.086904460290341,12.490527788302366,13.65107612716274,14.73340936235017,15.640833677960442
2000,0.5332861679391973,2.3260020494979474,4.740689551800104,7.174270076026818,9.31538638062855,11.038361503331243,12.504156929122416,13.631770330229154,14.592689348850579,15.494198308789342
2001,0.5468711971205814,2.3864867448813434,4.9453197786987255,7.488327538587834,9.708157357922142,11.51054352096885,12.891989199538779,14.03000636620215,14.886024384325756,15.623350583965935
2002,0.5361482059385662,2.3246583478669494,4.827826731307635,7.400364131079064,9.617098927069666,11.406463466999456,12.834624521811866,13.949947152011058,14.880426768585645,15.600681455231376
2003,0.5518536641107036,2.284372982616558,4.690188633597558,7.176991738814298,9.388491486230825,11.14822588338532,12.556703251335716,13.694608124253257,14.607606068297946,15.391149296327091
2004,0.5615569126744699,2.34479479871884,4.703245194351266,7.133750812763273,9.30768948883981,11.09013410153895,12.440851658949711,13.528042984210998,14.421902778292656,15.165718659924147
2005,0.5549434641276798,2.42061854080111,4.909302659148241,7.357928501802457,9.547269219284411,11.35325159863743,12.762254556653078,13.796870616509983,14.62931288683003,15.320899583261099
2006,0.5469799283408393,2.3390940367953603,4.852422166908778,7.340651128500409,9.47129786187831,11.245197100633474,12.727512704217148,13.853160599454439,14.685865691142133,15.373124548390255
2007,0.5523657927704033,2.3627113043641392,4.837919880550531,7.401614555254607,9.599409020646636,11.339523012600644,12.72095725663431,13.857441907449296,14.764383897587845,15.432049410393429
