year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2080,0.230357982316834,1.0748060115067,2.51229554050216,4.43588101217185,6.50829424662298,8.56824845507868,10.5675427553279,12.5476248430875,14.5098839342758,16.2511166377128,17.6275770021398,18.6267367563674,19.4166962699246,19.9667590133011
2081,0.218841929301351,1.23091672170458,2.79448025077927,4.69273406562908,6.80918019303854,8.84763757280357,10.7315726981792,13.029139442926,14.6908007762284,16.2837261346593,17.6605673041722,18.7281521813774,19.4928504161922,20.1013877397689
2082,0.160914713066827,1.05403657821831,2.79139653486228,4.725694327822,6.72537990337444,8.74422900824308,10.5639169258226,13.1246538402103,15.0533390919372,16.4041091587851,17.6703559136906,18.7452232577034,19.5674814257371,20.1509333652201
2083,0.144915989771996,0.858813117697315,2.45387177406012,4.60033071370458,6.60789689003615,8.49365946326698,10.280484597676,13.0625273527017,15.2235424203076,16.7931144492608,17.8681324540738,18.8600850366844,19.6912841677422,20.3209542496005
2084,0.129655006365258,0.770431202024905,2.08387796623152,4.09835660827128,6.32803421127641,8.20506840073832,9.86688853171751,12.6573615150226,15.0065941505253,16.760464920621,18.0032746871628,18.841441557384,19.6063228868525,20.2558329872811
2085,0.1629770851613,0.817903150503461,2.10623360391339,3.89537829248631,6.11832660007527,8.28795966621879,9.98548724106021,12.2937200400895,14.672051490505,16.5908788811234,17.9844287583699,18.9547520626622,19.6019153121901,20.1969584770464
2086,0.179772934050873,0.955115638471098,2.24789507137608,4.01089521252516,6.01642437682836,8.21597410800217,10.1945598361647,12.3821414678566,14.3388065811195,16.2764418456019,17.7938558774767,18.8743411421803,19.6171719070433,20.1224176774456
2087,0.204258964787998,1.06283938257961,2.56042062881164,4.30999681366884,6.29006838678277,8.29384194785282,10.3229460961444,12.6278347005145,14.4685140018784,16.0574146666784,17.5878639813668,18.7611699113468,19.5888211609983,20.1662022240673
2088,0.189082865253245,1.094348325524,2.67301558765114,4.61812914311384,6.5264402142522,8.47162899962472,10.3043860859662,12.7548225034921,14.685694697215,16.1745445452252,17.4288402019057,18.6138042113114,19.5378637483509,20.2004777372822
2089,0.168643084745958,0.999107331996285,2.62916754685232,4.62971710276911,6.69935382483271,8.53652512682936,10.2920840650834,12.5828394804813,14.6229761781469,16.1732915065856,17.3407357684377,18.3302474351224,19.2596269577122,20.0045707500586
2090,0.2177582324169,1.05299563620437,2.65060270065651,4.78051880110766,6.93571125016104,8.93551674088602,10.5957975874263,12.7011692484748,14.6020919748336,16.233837759742,17.47546106291,18.3990086321491,19.1950255721083,19.9369593179639
2091,0.200225278922167,1.15427686866583,2.69429388304412,4.76795776255196,7.05554015701948,9.12926481875955,10.928014855735,13.0881361374947,14.8509402055804,16.3899436673905,17.6783868866846,18.6413828121918,19.3489240126006,19.9561084614106
2092,0.163489451275201,1.01429579386826,2.69312470459984,4.6243418121658,6.81335256624716,8.98330207438976,10.8219750625572,13.3110618394834,15.1198172837154,16.5501289708794,17.7709999204892,18.7757435956454,19.5174032789287,20.0589302095264
