year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1959,0.04916384590704198,,,,,,,,,,,,,
1960,0.07955584634604303,0.34787570722549377,,,,,,,,,,,,
1961,0.06327950068327129,0.39447702851460786,0.9319907523864319,,,,,,,,,,,
1962,0.0797739918803875,0.3941338781559839,1.0913913398627182,1.8819013483858609,,,,,,,,,,
1963,0.05963147762270893,0.3824326663506671,0.9839787280524652,1.9309042424472398,2.8290733832559893,,,,,,,,,
1964,0.059228420009745354,0.32380710719792866,0.955945440918422,1.7816229295264727,2.855374392222811,3.7699061595361663,,,,,,,,
1965,0.07017340498181633,0.3547351109600882,0.9204216967805299,1.8393558471368783,2.8168671080010066,3.9407989905659604,4.826528096137063,,,,,,,
1966,0.05438912310304837,0.3397104792304885,0.889600972189867,1.6730720303061857,2.722245052264451,3.714356269224016,4.771503220352177,6.671452378776667,,,,,,
1967,0.041057467706548105,0.2492477351737875,0.7631141772944042,1.4721866121879057,2.3201980133892346,3.3675970540979665,4.344995267310691,6.502784728158844,8.278113687708784,,,,,
1968,0.0726522583947416,0.30009557273641285,0.7934099773668728,1.5932723785603835,2.4766567751889896,3.4051353194622282,4.453030880680878,6.399705309212708,8.485464492115193,10.088682757617057,,,,
1969,0.05314265450345156,0.34167212364043836,0.791767117661949,1.498489463956687,2.437378647784647,3.3550935007926865,4.2482987660537805,6.35434464733727,8.220707834120264,10.090826200985463,11.465299892743552,,,
1970,0.057070765079780664,0.2994830179306955,0.8812427336646533,1.525850806828395,2.3706816246644578,3.361215486522314,4.2526401244192344,6.329666047614062,8.37961609490567,10.072866009147274,11.691002259576436,12.841993636876298,,
1971,0.07130656233024411,0.3518702665660363,0.885834401214773,1.756422259203694,2.5478705209910077,3.4723247087790794,4.46728592390286,6.268696951826514,8.286547722766729,10.140368315405157,11.601728715736794,12.953565522497911,13.936837769109506,
1972,0.057777962709499746,0.35284221459770615,0.9019334401451434,1.6527176908762697,2.662297247248174,3.482129378230709,4.374805893923347,6.509594929884071,8.251377950102889,10.077555745344274,11.675340676955068,12.93002886388198,14.093912864874648,14.953942433698767
1973,0.07156278404790012,0.35409297727831335,0.9775553999070313,1.7804414817942182,2.687479540810543,3.7648974623103806,4.573895682773872,6.76162510294403,8.867492731455293,10.46955018320345,12.072734209241224,13.426379575456908,14.46326392738097,15.407528978963208
1974,0.0766134714394195,0.41047952534024446,1.006972518268872,1.9201584175470443,2.884823061819249,3.855828549861003,4.9198277603532645,6.7540814742504995,8.872406379936688,10.772632492137056,12.15552772302417,13.497747940614445,14.604233942431188,15.437471690841072
1975,0.06388216944896917,0.38553152595316204,1.0280715072952582,1.850610817869078,2.897574844217814,3.884600583200593,4.82122664960648,7.017506378613332,8.768023832056583,10.666757605798146,12.29171678603868,13.438642093340802,14.554695528560703,15.499051573996132
1976,0.07368942048166648,0.38111230981380734,1.0514234292138245,1.9746157407427796,2.9517090777461457,4.057629640510033,5.022112289317831,6.971490580700902,9.075338033495958,10.650141422084218,12.286940551629892,13.642137207622767,14.577818389770274,15.491559254955865
