year,1,2,3,4,5,6,7,8,9,10
1959,0.502509563291092,,,,,,,,,
1960,0.5080300957584905,2.3425416204367817,,,,,,,,
1961,0.5005036370862385,2.3453054622287453,5.064672371673186,,,,,,,
1962,0.5196857630793622,2.3462760227260726,5.072540520739381,7.986992023104041,,,,,,
1963,0.44856960227271114,2.3293234576124804,5.079378061120019,8.079890310010674,10.832262482985497,,,,,
1964,0.4047914665301025,2.1266507083110873,5.019868352365465,8.072521563231875,10.927648317917802,13.32850008546717,,,,
1965,0.4797912821227796,2.1160980177468813,4.822738334114743,8.021261400855881,10.877175594108099,13.317307531625339,15.259182165227747,,,
1966,0.4582845596858929,2.2728765225719947,4.8360829627447,7.895239069176633,10.94918736720206,13.430510963448961,15.435553114710633,16.975035948672275,,
1967,0.49529849594615916,2.2490040280331796,5.009133161202036,7.824134452768084,10.689720217814942,13.28940265426451,15.281911077969646,16.834595253458932,17.99842713643032,
1968,0.5077116129400597,2.3369063456437114,4.981191416926502,7.987922632444019,10.60853335813501,13.048538298596041,15.136056121663247,16.676645141022277,17.84830012330135,18.71981064568577
1969,0.4525804929084568,2.313604582630287,5.079987112837857,8.002074733101946,10.848162644576965,13.120522966243737,15.124567633916872,16.775701885709108,17.96389639631597,18.852650923452224
1970,0.5100880384074361,2.2397344843572817,5.039949768775628,8.022201016638725,10.716931256371577,13.118901643071398,14.935124793620165,16.48135573746872,17.723452191223572,18.61765004548849
1971,0.49746805565062074,2.3728137205014908,5.0070311257906,8.094983812729215,10.895553623538433,13.212658146395961,15.168395027503818,16.595895317285148,17.782740639659988,18.719695037893768
1972,0.49785318961523345,2.340946433800788,5.152743365546671,8.026622642855726,10.909342768366434,13.297450378784596,15.169374090477518,16.694765325781773,17.782262006991594,18.671959492006547
1973,0.5038310326397074,2.3488875070779063,5.1196568181566455,8.175120244421771,10.850412819944745,13.308056372650857,15.2337650311174,16.6913450990671,17.85148588729449,18.66538217701178
1974,0.48455415452196043,2.3471203858582905,5.133133411640494,8.168839156653764,11.030413805817101,13.326633068474612,15.32539280622498,16.836206109070865,17.953330747789927,18.828320449655745
1975,0.5071853404614917,2.3240447330565144,5.129639794299873,8.157061411026236,10.976246214723933,13.407057349799587,15.255352532639849,16.808987502648506,17.95538386322967,18.789597400731864
1976,0.49051931282757927,2.3515438403590543,5.081853276990265,8.137444067360104,10.95369523692433,13.354174521593688,15.313814204712385,16.752891346430165,17.93466937144953,18.799559021216577
1977,0.48629304442507215,2.3183419382313057,5.129669557312737,8.11773439826211,10.97725229052271,13.38754946305753,15.332926186674078,16.86565205880594,17.965242889218853,18.85391254725937
1978,0.48274138446687176,2.3030084622091676,5.07787583533471,8.150449760024909,10.941278668631998,13.385589123344237,15.33562196746964,16.85484259865885,18.023689329983608,18.855167289345648
1979,0.46662339094738464,2.282075867596312,5.060294614078408,8.119989551852672,11.010905550476938,13.413081524097764,15.405248667517283,16.938854489069943,18.105657920185507,18.98885511860668
1980,0.47460829619174794,2.253926761655826,5.035886491186799,8.098079028782568,10.973412950388461,13.455445874822702,15.407306745501824,16.96955463021273,18.143701856618762,19.022596356137672
1981,0.4960850197180731,2.2850686114318277,4.9887501486928585,8.028546888048083,10.876465962030165,13.318775073353985,15.312491327836991,16.82515181945624,18.007337581706764,18.891590359407793
1982,0.49183969668974165,2.3231318248954897,5.01719773978249,7.969069984876469,10.800438866606969,13.222806285857903,15.187574488359417,16.734468428353424,17.880267585306658,18.766960369591644
1983,0.5096638534458208,2.3299419825191285,5.069175472929058,7.988376848361538,10.724978842434505,13.124616830687375,15.066006463659955,16.584754273513287,17.75181412673793,18.602572445681048
1984,0.4686336546184164,2.32429871741489,5.052378079141933,8.040666703864622,10.769555979840947,13.11413524961569,15.060597029217986,16.579728101346536,17.739871438401085,18.64869949245962
1985,0.48219673787314665,2.2557111904176526,5.064216147909575,8.041699141157011,10.831618783588153,13.164615426264056,15.063793308334137,16.58537619299103,17.744541371551804,18.63120468406488
1986,0.5024500859535888,2.2988833642876476,4.973782241386014,8.02198332338731,10.776435629236273,13.138450244284067,15.009222895602539,16.47978591364921,17.630232270255625,18.50564229692968
1987,0.44488095216533324,2.2918408697778005,5.02300645445905,7.98849708811058,10.876854448118134,13.263485794902502,15.202156744195708,16.684815425947853,17.82342733978372,18.699821842958173
1988,0.4617579051055078,2.1909525319887897,5.029628934691553,8.041182502300897,10.836386533037889,13.324520286821606,15.269088951895188,16.793711372074757,17.932505901697194,18.793112653918325
1989,0.4907394330588596,2.2480523414949793,4.896654945047012,8.005476054731266,10.80696053512516,13.18484146250362,15.186885529913173,16.69587375276755,17.860604551634943,18.735492637690687
1990,0.5257877344750186,2.336887522162896,4.972446758541331,7.848327858429237,10.719349795225067,13.078323074046846,14.973288167756484,16.512150312870016,17.644163785621224,18.530250314432966
1991,0.5282458553377493,2.401515828550046,5.05819198833292,7.883637370057115,10.527360282093971,12.938954078221744,14.811901662490522,16.264028911108028,17.415242021432377,18.276057571629924
1992,0.45816400138964225,2.3696815609485222,5.181013549123111,8.106408329324015,10.785880023494379,13.087192801526525,15.07422103366776,16.56240905810599,17.689216403072855,18.56794273174761
1993,0.5076166419236751,2.2650883173322294,5.14817449424397,8.188064659372895,10.898688501517105,13.177790242170747,15.034175409444869,16.580876901470738,17.711421878577518,18.553660070397402
1994,0.5057743587000548,2.35707709467271,4.991422532029923,8.110638654985669,10.910631994046414,13.199140796733932,15.025064972901196,16.462426189676595,17.63192763207345,18.47271752879627
1995,0.47986220954129,2.3380582515992727,5.1163489394092485,8.00002775206591,10.919439780540976,13.312655921480724,15.166670167392542,16.596569266286117,17.69677811842087,18.577551016310814
1996,0.5209260484745282,2.3052998696515794,5.069307480420707,8.047158136512001,10.695021648674668,13.148025914239602,15.049421909461852,16.47214159431377,17.5454207149201,18.40531182908335
1997,0.5128006959663841,2.3726248751631953,5.001785265946697,7.963623333314839,10.690314986597457,12.913283619500513,14.863970943072069,16.32239442340845,17.399796554392772,18.236524592230918
1998,0.5104868913590571,2.3496624182146046,5.0694072715490295,7.876723614925264,10.589960605533264,12.876303854435907,14.643658437515729,16.141194362472003,17.273240056971016,18.11826636327751
1999,0.5317272543176298,2.371019705618077,5.070457884921911,7.971190770402428,10.54178219514998,12.820494502501186,14.639017585959712,15.997099408797197,17.12119061139398,17.956811182181934
2000,0.5156290966287812,2.3963223632950306,5.0789229373696605,7.957043654481593,10.611407086647084,12.771285060312868,14.587748919622356,15.987624047725452,17.009386883755223,17.868030162900784
2001,0.5119600568593268,2.39102291775894,5.187274190442423,8.095337116233186,10.776041664337587,13.043759852680177,14.794604944810992,16.217703020597938,17.289055222187294,18.058849220575727
2002,0.5120899030421172,2.354770417646668,5.104453902974721,8.075550062830025,10.72775614448941,12.973259354660446,14.775588850675776,16.12116428672282,17.199548841260448,18.04774178163155
2003,0.5442189428351659,2.3445607681251768,4.981327005854385,7.8403416480759995,10.486846393823875,12.654690225315777,14.397147425014358,15.749300763992848,16.778942706713913,17.653217433278765
2004,0.5403799620431909,2.4220485978615116,5.011191717813663,7.793863469667251,10.383635212768601,12.581115517318752,14.288429266069372,15.6152258908468,16.628189959338243,17.41575993781964
2005,0.5266506372990672,2.42844611345577,5.159080770250299,7.92116061704677,10.480702503541641,12.667378079047342,14.426596328240368,15.747522019611868,16.751187246478082,17.505655606571448
2006,0.5357229391886874,2.399972422795355,5.1490452778129265,8.029487883617914,10.540896280783585,12.682822449336303,14.419873758284567,15.770513638622003,16.761993637824435,17.503953276400736
2007,0.5239202142263049,2.4073327913598033,5.1090723241767515,8.020107107033574,10.641045216585837,12.74335085005249,14.447879151434833,15.784789161891428,16.80105331172776,17.543611229972623
